pl_name,Ag,pl_eqt,habitability_index
Kepler-1052 c,10.93005671077505,302.0,0.4322868403820255
GJ 1132 c,12.651963421194194,300.0,0.43134553256010744
TOI-1224 c,10.215383165237064,303.12,0.42861254518956204
Kepler-896 b,10.625380805824184,303.0,0.4247887547934315
Kepler-174 d,11.09526490273347,212.0,0.4105074164181399
Kepler-1086 c,10.158730158730162,211.0,0.4089978031498499
K2-3 d,10.142235920826584,305.2,0.4053148228260183
Kepler-1638 b,11.658325945837742,304.0,0.4005160873580466
Kepler-149 d,9.311549841852873,306.0,0.39861469846425346
Kepler-1229 b,12.700000000000003,212.0,0.39048732943469777
Kepler-1649 b,9.759361261697652,307.0,0.38822598691303667
Teegarden's Star c,9.89042675893887,209.0,0.38564429785215315
Kepler-235 e,11.055920785650514,306.0,0.3853108680040876
